parent;                           child;                                     factor
;;
# total FE primary steel production;;
FE|Industry|Steel|++|Primary;     FE|Industry|Steel|+|Solids;1
FE|Industry|Steel|++|Primary;     FE|Industry|Steel|+|Liquids;1
FE|Industry|Steel|++|Primary;     FE|Industry|Steel|+|Gases;1
FE|Industry|Steel|++|Primary;     FE|Industry|Steel|+|Hydrogen;1
FE|Industry|Steel|++|Primary;     FE|Industry|Steel|Primary|Electricity;1
;;
# total FE secondary steel production;;
FE|Industry|Steel|++|Secondary;   FE|Industry|Steel|Secondary|Electricity;1
;;
# total GHG emissions by sectors with separation into gross and negative emissions;;
Emi|GHG;Emi|GHG|Gross|Energy|Supply|Electricity;1
Emi|GHG;Emi|GHG|Gross|Energy|Supply|Non-electric;1
Emi|GHG;Emi|GHG|Energy|Demand|+|Buildings;1
Emi|GHG;Emi|GHG|Gross|Energy|Demand|+|Industry;1
Emi|GHG;Emi|GHG|Energy|Demand|+|Transport;1
Emi|GHG;Emi|GHG|Gross|Energy|Demand|+|CDR Sector;1
Emi|GHG;Emi|GHG|+++|Industrial Processes;1
Emi|GHG;Emi|GHG|Gross|Waste;1
Emi|GHG;Emi|GHG|+++|Agriculture;1
Emi|GHG;Emi|GHG|+++|Land-Use Change;1
Emi|GHG;Emi|CO2|CDR|+|BECCS;1
Emi|GHG;Emi|CO2|CDR|+|Biochar;1
Emi|GHG;Emi|CO2|CDR|+|DACCS;1
Emi|GHG;Emi|CO2|CDR|+|EW;1
Emi|GHG;Emi|CO2|CDR|+|OAE;1
Emi|GHG;Emi|CO2|CDR|+|Materials;1
Emi|GHG;Emi|CO2|CDR|+|Synthetic Fuels CCS;1
;;
# total CO2 emissions by sectors with separation into gross and negative emissions;;
Emi|CO2|+|Land-Use Change;Emi|CO2|Gross|+|Land-Use Change;1
Emi|CO2|+|Land-Use Change;Emi|CO2|CDR|+|Land-Use Change;1
;;
Emi|CO2|Gross|+|Energy;Emi|CO2|Gross|Energy|Supply|+|Electricity;1
Emi|CO2|Gross|+|Energy;Emi|CO2|Gross|Energy|Supply|Non-electric;1
Emi|CO2|Gross|+|Energy;Emi|CO2|Energy|Demand|+|Transport;1
Emi|CO2|Gross|+|Energy;Emi|CO2|Gross|Energy|Demand|+|Industry;1
Emi|CO2|Gross|+|Energy;Emi|CO2|Energy|Demand|+|Buildings;1
Emi|CO2|Gross|+|Energy;Emi|CO2|Gross|Energy|Demand|+|CDR Sector;1
;;
Emi|CO2;Emi|CO2|Gross|+|Energy;1
Emi|CO2;Emi|CO2|Gross|+|Waste;1
Emi|CO2;Emi|CO2|+|Land-Use Change;1
Emi|CO2;Emi|CO2|+|Industrial Processes;1
Emi|CO2;Emi|CO2|CDR|+|BECCS;1
Emi|CO2;Emi|CO2|CDR|+|Biochar;1
Emi|CO2;Emi|CO2|CDR|+|DACCS;1
Emi|CO2;Emi|CO2|CDR|+|EW;1
Emi|CO2;Emi|CO2|CDR|+|OAE;1
Emi|CO2;Emi|CO2|CDR|+|Materials;1
Emi|CO2;Emi|CO2|CDR|+|Synthetic Fuels CCS;1
;;
# total GHG emissions by CO2 sectors and non-CO2 gases;;
Emi|GHG 1;Emi|CO2|+|Energy;1
Emi|GHG 1;Emi|CO2|+|Industrial Processes;1
Emi|GHG 1;Emi|CO2|+|Land-Use Change;1
Emi|GHG 1;Emi|CO2|+|Waste;1
Emi|GHG 1;Emi|GHG|+|CH4;1
Emi|GHG 1;Emi|GHG|+|N2O;1
Emi|GHG 1;Emi|GHG|+|F-Gases;1
Emi|GHG 1;Emi|CO2|+|non-ES CDR;1
;;
# cumulated total CO2 emissions by sectors with separation into gross and negative emissions;;
Emi|CO2|Cumulated;Emi|CO2|Cumulated|Land-Use Change;1
Emi|CO2|Cumulated;Emi|CO2|Cumulated|Industrial Processes;1
Emi|CO2|Cumulated;Emi|CO2|Cumulated|Energy|Demand|Transport;1
Emi|CO2|Cumulated;Emi|CO2|Cumulated|Gross|Energy|Demand|Industry;1
